Size,ArrayType,Algorithm,TimeMs,Comparisons
2100,NearlySorted,MergeSort,1.80943,38917
2100,NearlySorted,QuickSort,0.721518,195859
2100,NearlySorted,StringMergeSort,1.80115,25335
2100,NearlySorted,StringQuickSort,0.311593,69412
2100,NearlySorted,MSD,0.625959,10138
2100,NearlySorted,MSD_QS,0.197072,18823
2100,CommonPrefix,MergeSort,1.87041,629613
2100,CommonPrefix,QuickSort,0.365353,420476
2100,CommonPrefix,StringMergeSort,1.91446,315995
2100,CommonPrefix,StringQuickSort,0.217062,53536
2100,CommonPrefix,MSD,1.08452,68456
2100,CommonPrefix,MSD_QS,1.01633,73082
2200,Random,MergeSort,1.42436,60644
2200,Random,QuickSort,0.24319,36490
2200,Random,StringMergeSort,1.58218,30594
2200,Random,StringQuickSort,0.174922,25400
2200,Random,MSD,0.466135,10244
2200,Random,MSD_QS,0.189284,15319
2200,Reverse,MergeSort,1.61655,56109
2200,Reverse,QuickSort,5.86192,2464176
2200,Reverse,StringMergeSort,1.23045,18703
2200,Reverse,StringQuickSort,0.38888,86852
2200,Reverse,MSD,0.484813,10710
2200,Reverse,MSD_QS,0.319871,41481
2200,NearlySorted,MergeSort,1.26627,41032
2200,NearlySorted,QuickSort,0.350913,145360
2200,NearlySorted,StringMergeSort,1.42518,26892
2200,NearlySorted,StringQuickSort,0.267624,70095
2200,NearlySorted,MSD,0.453073,10592
2200,NearlySorted,MSD_QS,0.168296,19807
2200,CommonPrefix,MergeSort,1.73391,664627
2200,CommonPrefix,QuickSort,0.40086,429393
2200,CommonPrefix,StringMergeSort,1.61696,334365
2200,CommonPrefix,StringQuickSort,0.195546,57606
2200,CommonPrefix,MSD,1.23196,71758
2200,CommonPrefix,MSD_QS,0.862724,76798
2300,Random,MergeSort,1.68485,64038
2300,Random,QuickSort,0.261936,40771
2300,Random,StringMergeSort,1.5072,32224
2300,Random,StringQuickSort,0.203844,26924
2300,Random,MSD,0.651416,10772
2300,Random,MSD_QS,0.199026,16146
2300,Reverse,MergeSort,1.42203,58248
2300,Reverse,QuickSort,6.48669,2690950
2300,Reverse,StringMergeSort,1.43952,19416
2300,Reverse,StringQuickSort,0.326854,92960
2300,Reverse,MSD,0.511309,11204
2300,Reverse,MSD_QS,0.241068,43159
2300,NearlySorted,MergeSort,1.46674,43683
2300,NearlySorted,QuickSort,0.776556,273215
2300,NearlySorted,StringMergeSort,1.34735,28567
2300,NearlySorted,StringQuickSort,0.276976,73182
2300,NearlySorted,MSD,0.487691,11080
2300,NearlySorted,MSD_QS,0.184552,20699
2300,CommonPrefix,MergeSort,1.88711,699020
2300,CommonPrefix,QuickSort,0.425892,443574
2300,CommonPrefix,StringMergeSort,1.71045,351676
2300,CommonPrefix,StringQuickSort,0.288035,59841
2300,CommonPrefix,MSD,1.34652,75062
2300,CommonPrefix,MSD_QS,1.09964,80392
2400,Random,MergeSort,1.80345,67220
2400,Random,QuickSort,0.266665,41065
2400,Random,StringMergeSort,1.72468,33960
2400,Random,StringQuickSort,0.180162,28183
2400,Random,MSD,0.477747,11300
2400,Random,MSD_QS,0.195524,17070
2400,Reverse,MergeSort,1.94148,60921
2400,Reverse,QuickSort,6.60808,2928106
2400,Reverse,StringMergeSort,1.40555,20307
2400,Reverse,StringQuickSort,0.365925,99132
2400,Reverse,MSD,0.626242,11662
2400,Reverse,MSD_QS,0.315093,45253
2400,NearlySorted,MergeSort,1.8101,45112
2400,NearlySorted,QuickSort,0.691474,256405
2400,NearlySorted,StringMergeSort,1.38483,29802
2400,NearlySorted,StringQuickSort,0.343671,92550
2400,NearlySorted,MSD,0.535151,11580
2400,NearlySorted,MSD_QS,0.20495,21628
2400,CommonPrefix,MergeSort,1.89655,732051
2400,CommonPrefix,QuickSort,0.42195,452412
2400,CommonPrefix,StringMergeSort,1.97346,369883
2400,CommonPrefix,StringQuickSort,0.20892,62273
2400,CommonPrefix,MSD,1.34504,78402
